id_alarm,imie,nazwisko,numer_telefonu
1,IGOR,GEMBARA,715520286
2,STANISŁAW,GROMEK,444674592
3,KLAUDIA,GAŁUS,933885025
4,HELENA,SZPILKA,703538592
5,ZOFIA,TWARDO,452597613
6,WIKTORIA,OLKOWSKA,575813175
7,WIKTOR,SZENDZIELARZ,490803619
8,JAROSŁAW,STRANKOWSKI,457142667
9,ŁUCJA,WÓJCIK,752646632
10,MIKOŁAJ,PAWELEC,519441233
11,MELANIA,SAKOWICZ,909657787
12,ADRIANNA,KRISTENSEN,846122594
13,FRANCISZEK,SHUVALOV,711298260
14,ZLATAN,SZEWC,409874029
15,BORYS,KWIATKOWSKI,713270288
16,ANTONINA,TOPOROWSKA,865811165
17,FRANCISZEK,OBLICKI,417295308
18,EMILIA,JUSZCZAK,872823331
19,FRANCISZEK,GALINOWSKI,893324159
20,MICHALINA,MOGIŁA,892593621
21,EMILIA,DOMIŃSKA,990762493
22,BRUNO,SZYMAŃSKI,436957885
23,JAN,GIZIEWSKI,957045307
24,SZYMON,CUPIAŁ,842794857
25,JAN,URBAŃSKI,584425464
26,FRANCISZEK,KORZENIEWSKI,702752470
27,STANISŁAW,PŁANDOWSKI,892391052
28,JULIA,MROCZKOWSKA,916816053
29,GABRIELA,FIUCZEK,771560273
30,ANNA,KOŚCIUK,901023205
31,PIOTR,KNOP,531494962
32,ZOFIA,OMELCZUK,657072575
33,KACPER,OZIMKIEWICZ,584035794
34,KLAUDIA,KOZAK,877796197
35,OREST,KMIECIK,806662713
36,TYMON,TARCZYŃSKI,671334220
37,WIKTORIA,SZYMANEK,499895008
38,IGA,PRUCHNIAK,672577857
39,MIKOŁAJ,GANDECKI,761561293
40,ADAM,KURZYNA,888039184
41,MICHALINA,ZAJĄC,576443121
42,IGNACY,URBAŃSKI,727179374
43,ZUZANNA,HOPE,466067767
44,JAGODA,CZERNIAWSKA,609655548
45,KAROL,FIGIEL,667886442
46,MIKOŁAJ,JABŁOŃSKI,737790463
47,EMILIA,ZAJĄC,905367992
48,ZOFIA,GŁOWACKA,972379314
49,ADAM,DOMINIAK,483388288
