id_osoby,imie,nazwisko,numer_telefonu,email,id_alarm
1,ANTONINA,DRĄG,987930619,adrąg4017@o2.pl,1
2,TYMOTEUSZ,SIEGMUND,654988666,tsiegmund3791@gmail.com,2
3,GUSTAW,KUŚ,692471901,gkuś678@gmail.com,3
4,MIKOŁAJ,SZYMKO,801169732,mszymko7879@gmail.com,4
5,BARBARA,GUMOWSKA,979060624,bgumowska6446@o2.pl,5
6,WIKTOR,MORAWIN,649388953,wmorawin9374@gmail.com,6
7,FILIP,GOŁĘBIEWSKI,886819613,fgołębiewski261@wp.pl,7
8,JAŚMINA,KULASZEWSKA,851297503,jkulaszewska239@wp.pl,8
9,MACIEJ,KUBISA,939964014,mkubisa9553@gmail.com,9
10,FILIP,GIEMZA,436506040,fgiemza8623@wp.pl,10
11,MARCELINA,SCHUL,679345977,mschul1568@wp.pl,11
12,ZUZANNA,ŚLIWIŃSKA,478962705,zśliwińska2088@o2.pl,12
13,MAJA,LEWICKA,400545448,mlewicka6654@gmail.com,13
14,LEON,WAWRZYNIAK,933688313,lwawrzyniak8307@gmail.com,14
15,LEON,RĄCZKOWSKI,730010659,lrączkowski9809@gmail.com,15
16,ANTONI,SERAFIN,883219220,aserafin3008@o2.pl,16
17,MARCEL,TRZENSIMIECH,797236738,mtrzensimiech1729@wp.pl,17
18,POLA,SIEMIŃSKA,684014876,psiemińska4070@gmail.com,18
19,KASJAN,BIEŃKOWSKI,705042358,kbieńkowski7182@gmail.com,19
20,FILIP,GÓRA,709633637,fgóra9963@gmail.com,20
21,JAN,BISZCZANIK,423815962,jbiszczanik4361@gmail.com,21
22,IGNACY,WOSZ,632763922,iwosz5091@o2.pl,22
23,MIKOŁAJ,PAJĄK,426905176,mpająk478@gmail.com,23
24,EMILIA,TYBURCY,957370023,etyburcy9159@gmail.com,24
25,KAJA,JANKOWSKA,486439031,kjankowska6174@o2.pl,25
26,SARA,PIĄTEK,903390356,spiątek5853@wp.pl,26
27,DANIEL,LIGNOWSKI,405051694,dlignowski9100@o2.pl,27
28,PASCAL,SZABLEWSKI,465185088,pszablewski3661@gmail.com,28
29,WERONIKA,FIDO,823421860,wfido9391@o2.pl,29
30,KORDIAN,ZADROŻNY,649793174,kzadrożny5517@o2.pl,30
31,BRUNON,STERNAL,743895053,bsternal4530@wp.pl,31
32,HELENA,SUCHARSKA,709636032,hsucharska3699@gmail.com,32
33,JAN,BEDNARZAK,573255439,jbednarzak8885@gmail.com,33
34,ALICJA,RÓG,915838244,aróg5656@o2.pl,34
35,ZOFIA,KUJAWA,772053274,zkujawa3227@o2.pl,35
36,LIDIA,MYSZKOWSKA,856858106,lmyszkowska7789@gmail.com,36
37,LEON,WOŹNY,433809245,lwoźny6684@wp.pl,37
38,ANIELA,KLIMEK,979921921,aklimek9562@o2.pl,38
39,HENRYK,PABIAŃCZYK,797568713,hpabiańczyk9403@gmail.com,39
40,DAWID,GONTARZ,983610766,dgontarz3002@gmail.com,40
41,GABRIELA,MICHALIK-JANKOWSKA,401690710,gmichalik-jankowska6639@gmail.com,41
42,LEON,SZOPA,777630855,lszopa9462@wp.pl,42
43,EMILIA,WRĘGA,485171369,ewręga5943@wp.pl,43
44,LILIANNA,GNATIUK,887704256,lgnatiuk649@gmail.com,44
45,MILENA,JASIECKA,789224245,mjasiecka2477@gmail.com,45
46,SZYMON,MATUSZAK,812809677,smatuszak3429@gmail.com,46
47,JAKUB,ZAJĄC,878056271,jzając1994@o2.pl,47
48,KAROL,ŁEBEK,622750248,kłebek5831@wp.pl,48
49,MACIEJ,DORYNEK,437012705,mdorynek9016@o2.pl,49
50,ALEKSANDRA,SULIGOWSKA,797755692,asuligowska2914@gmail.com,50
51,SZYMON,WALASZCZYK,779529382,swalaszczyk3132@o2.pl,51
52,ALBERT,MALINOWSKI,490092402,amalinowski4066@o2.pl,52
53,OLIWIA,JASZCZAK,544887154,ojaszczak1776@wp.pl,53
54,ANTONI,MAREK,430007147,amarek1248@o2.pl,54
55,MILENA,JANKOWSKA,997186519,mjankowska942@wp.pl,55
56,MARCELI,ZAWIDZKI,949628628,mzawidzki2251@gmail.com,56
57,MATEUSZ,STASZCZYK,699641272,mstaszczyk4794@gmail.com,57
58,MIKOŁAJ,WOJTUCKI,697060996,mwojtucki7085@o2.pl,58
59,FILIP,BEDNARSKI,509558937,fbednarski3640@wp.pl,59
60,RAFAŁ,PASKIEWICZ,679210453,rpaskiewicz5496@wp.pl,60
61,FILIP,BICKI,960734469,fbicki8480@wp.pl,61
62,NATANIEL,PŁÓCIENNIK,822504248,npłóciennik662@o2.pl,62
63,ALEKSANDRA,KACZMAREK,518417329,akaczmarek5516@o2.pl,63
64,MICHAŁ,KOWALSKI,605663955,mkowalski5715@gmail.com,64
65,HANNA,MICHALSKA,797256324,hmichalska1118@o2.pl,65
66,LILIANA,KULESZA,722361859,lkulesza7686@o2.pl,66
67,ELIZA,SĘDZIŃSKA,809496891,esędzińska4690@wp.pl,67
68,HELENA,RĄPAŁA,932441317,hrąpała4413@o2.pl,68
69,KUBA,WICIŃSKI,845270204,kwiciński1573@gmail.com,69
70,MICHAŁ,ŁUC,853705541,młuc9079@gmail.com,70
71,JAN,SZKLANNY,999129284,jszklanny1958@gmail.com,71
72,MARCELINA,SOLARSKA,922440513,msolarska2059@wp.pl,72
73,ZOFIA,CICHECKA,695462453,zcichecka8984@gmail.com,73
74,JULIAN,SOBIERAJ,544153108,jsobieraj9980@wp.pl,74
75,EWA,PIROHOVA,678171163,epirohova350@o2.pl,75
76,HANNA,MIKOŚ,506887820,hmikoś3529@o2.pl,76
77,OLIWIA,KORBA,459058127,okorba6652@gmail.com,77
78,ANTONI,REJOWSKI,509996332,arejowski5963@wp.pl,78
79,IGA,WALCZYK,567695527,iwalczyk348@o2.pl,79
80,KUBA,PRUS,592398914,kprus4281@o2.pl,80
81,MARIA,MUZAL,921468098,mmuzal7546@o2.pl,81
82,HENRYK,BIRAGA,634941877,hbiraga1552@wp.pl,82
83,LIAM,JASIŃSKI,990212501,ljasiński5378@gmail.com,83
84,KORNELIA,POLAK,428614891,kpolak2809@gmail.com,84
85,ADRIAN,DROST,469872996,adrost2400@o2.pl,85
86,JULIA,LINKIEWICZ,433636921,jlinkiewicz9571@gmail.com,86
87,MIKOŁAJ,LISZEWSKI,973477590,mliszewski9020@wp.pl,87
88,KACPER,CHAŁUPA,838980586,kchałupa2782@o2.pl,88
89,BEATA,MAJER,951515765,bmajer624@wp.pl,89
90,MARCIN,ŚWIDZIŃSKI,444297753,mświdziński6549@gmail.com,90
91,MAJA,SROKA,466988431,msroka9714@o2.pl,91
92,CEZARY,JANCZAREK,639398552,cjanczarek4594@wp.pl,92
93,WERONIKA,BACZKOWSKA,532111355,wbaczkowska9323@gmail.com,93
94,HANNA,SZARA,540327824,hszara6469@gmail.com,94
95,SZYMON,STAŃCZYK,453438051,sstańczyk825@wp.pl,95
96,ALEKSANDER,DRUSZCZ,874067090,adruszcz4703@wp.pl,96
97,ANTONI,ROBAK,491464934,arobak8843@o2.pl,97
98,MAJA,WOŹNIAK,948911467,mwoźniak7821@gmail.com,98
99,OLIWIER,MARCINIAK,784756268,omarciniak3491@o2.pl,99
100,GABRIELA,PSZENICZNA,516294637,gpszeniczna9972@gmail.com,100
101,SZYMON,CEDRO,527561002,scedro2648@gmail.com,101
102,HANNA,CHILEWSKA,959576851,hchilewska1259@gmail.com,102
103,ANNA,DRAB,705153252,adrab5965@o2.pl,103
104,HENRYK,SZCZEPANIAK,714762814,hszczepaniak7128@wp.pl,104
105,ANASTAZJA,BOGUSŁAWSKA,500380199,abogusławska498@wp.pl,105
106,MIKOŁAJ,KOLOCH,711366880,mkoloch3298@gmail.com,106
